label,text,example
numpy.ma.row_stack,Stack arrays in sequence vertically (row wise).,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">([</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">,</span> <span class=""mi"">3</span><span class=""p"">])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">b</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">([</span><span class=""mi"">4</span><span class=""p"">,</span> <span class=""mi"">5</span><span class=""p"">,</span> <span class=""mi"">6</span><span class=""p"">])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">vstack</span><span class=""p"">((</span><span class=""n"">a</span><span class=""p"">,</span><span class=""n"">b</span><span class=""p"">))</span>
<span class=""go"">array([[1, 2, 3],</span>
<span class=""go"">       [4, 5, 6]])</span>
</pre>"
numpy.ma.vstack,Stack arrays in sequence vertically (row wise).,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">([</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">,</span> <span class=""mi"">3</span><span class=""p"">])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">b</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">([</span><span class=""mi"">4</span><span class=""p"">,</span> <span class=""mi"">5</span><span class=""p"">,</span> <span class=""mi"">6</span><span class=""p"">])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">vstack</span><span class=""p"">((</span><span class=""n"">a</span><span class=""p"">,</span><span class=""n"">b</span><span class=""p"">))</span>
<span class=""go"">array([[1, 2, 3],</span>
<span class=""go"">       [4, 5, 6]])</span>
</pre>"
numpy.ma.concatenate,Concatenate a sequence of arrays along the given axis.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""kn"">import</span> <span class=""nn"">numpy.ma</span> <span class=""k"">as</span> <span class=""nn"">ma</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">arange</span><span class=""p"">(</span><span class=""mi"">3</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span><span class=""p"">[</span><span class=""mi"">1</span><span class=""p"">]</span> <span class=""o"">=</span> <span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">masked</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">b</span> <span class=""o"">=</span> <span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">arange</span><span class=""p"">(</span><span class=""mi"">2</span><span class=""p"">,</span> <span class=""mi"">5</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span>
<span class=""go"">masked_array(data=[0, --, 2],</span>
<span class=""go"">             mask=[False,  True, False],</span>
<span class=""go"">       fill_value=999999)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">b</span>
<span class=""go"">masked_array(data=[2, 3, 4],</span>
<span class=""go"">             mask=False,</span>
<span class=""go"">       fill_value=999999)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">concatenate</span><span class=""p"">([</span><span class=""n"">a</span><span class=""p"">,</span> <span class=""n"">b</span><span class=""p"">])</span>
<span class=""go"">masked_array(data=[0, --, 2, 2, 3, 4],</span>
<span class=""go"">             mask=[False,  True, False, False, False, False],</span>
<span class=""go"">       fill_value=999999)</span>
</pre>"
numpy.ma.stack,Join a sequence of arrays along a new axis.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">arrays</span> <span class=""o"">=</span> <span class=""p"">[</span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">random</span><span class=""o"">.</span><span class=""n"">randn</span><span class=""p"">(</span><span class=""mi"">3</span><span class=""p"">,</span> <span class=""mi"">4</span><span class=""p"">)</span> <span class=""k"">for</span> <span class=""n"">_</span> <span class=""ow"">in</span> <span class=""nb"">range</span><span class=""p"">(</span><span class=""mi"">10</span><span class=""p"">)]</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">stack</span><span class=""p"">(</span><span class=""n"">arrays</span><span class=""p"">,</span> <span class=""n"">axis</span><span class=""o"">=</span><span class=""mi"">0</span><span class=""p"">)</span><span class=""o"">.</span><span class=""n"">shape</span>
<span class=""go"">(10, 3, 4)</span>
</pre>"
numpy.ma.vstack,Stack arrays in sequence vertically (row wise).,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">([</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">,</span> <span class=""mi"">3</span><span class=""p"">])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">b</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">([</span><span class=""mi"">4</span><span class=""p"">,</span> <span class=""mi"">5</span><span class=""p"">,</span> <span class=""mi"">6</span><span class=""p"">])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">vstack</span><span class=""p"">((</span><span class=""n"">a</span><span class=""p"">,</span><span class=""n"">b</span><span class=""p"">))</span>
<span class=""go"">array([[1, 2, 3],</span>
<span class=""go"">       [4, 5, 6]])</span>
</pre>"
numpy.ma.hstack,Stack arrays in sequence horizontally (column wise).,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">((</span><span class=""mi"">1</span><span class=""p"">,</span><span class=""mi"">2</span><span class=""p"">,</span><span class=""mi"">3</span><span class=""p"">))</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">b</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">((</span><span class=""mi"">4</span><span class=""p"">,</span><span class=""mi"">5</span><span class=""p"">,</span><span class=""mi"">6</span><span class=""p"">))</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">hstack</span><span class=""p"">((</span><span class=""n"">a</span><span class=""p"">,</span><span class=""n"">b</span><span class=""p"">))</span>
<span class=""go"">array([1, 2, 3, 4, 5, 6])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">([[</span><span class=""mi"">1</span><span class=""p"">],[</span><span class=""mi"">2</span><span class=""p"">],[</span><span class=""mi"">3</span><span class=""p"">]])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">b</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">([[</span><span class=""mi"">4</span><span class=""p"">],[</span><span class=""mi"">5</span><span class=""p"">],[</span><span class=""mi"">6</span><span class=""p"">]])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">hstack</span><span class=""p"">((</span><span class=""n"">a</span><span class=""p"">,</span><span class=""n"">b</span><span class=""p"">))</span>
<span class=""go"">array([[1, 4],</span>
<span class=""go"">       [2, 5],</span>
<span class=""go"">       [3, 6]])</span>
</pre>"
numpy.ma.dstack,Stack arrays in sequence depth wise (along third axis).,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">((</span><span class=""mi"">1</span><span class=""p"">,</span><span class=""mi"">2</span><span class=""p"">,</span><span class=""mi"">3</span><span class=""p"">))</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">b</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">((</span><span class=""mi"">2</span><span class=""p"">,</span><span class=""mi"">3</span><span class=""p"">,</span><span class=""mi"">4</span><span class=""p"">))</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">dstack</span><span class=""p"">((</span><span class=""n"">a</span><span class=""p"">,</span><span class=""n"">b</span><span class=""p"">))</span>
<span class=""go"">array([[[1, 2],</span>
<span class=""go"">        [2, 3],</span>
<span class=""go"">        [3, 4]]])</span>
</pre>"
numpy.ma.column_stack,Stack 1-D arrays as columns into a 2-D array.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">((</span><span class=""mi"">1</span><span class=""p"">,</span><span class=""mi"">2</span><span class=""p"">,</span><span class=""mi"">3</span><span class=""p"">))</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">b</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">((</span><span class=""mi"">2</span><span class=""p"">,</span><span class=""mi"">3</span><span class=""p"">,</span><span class=""mi"">4</span><span class=""p"">))</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">column_stack</span><span class=""p"">((</span><span class=""n"">a</span><span class=""p"">,</span><span class=""n"">b</span><span class=""p"">))</span>
<span class=""go"">array([[1, 2],</span>
<span class=""go"">       [2, 3],</span>
<span class=""go"">       [3, 4]])</span>
</pre>"
numpy.ma.append,Append values to the end of an array.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""kn"">import</span> <span class=""nn"">numpy.ma</span> <span class=""k"">as</span> <span class=""nn"">ma</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">masked_values</span><span class=""p"">([</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">,</span> <span class=""mi"">3</span><span class=""p"">],</span> <span class=""mi"">2</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">b</span> <span class=""o"">=</span> <span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">masked_values</span><span class=""p"">([[</span><span class=""mi"">4</span><span class=""p"">,</span> <span class=""mi"">5</span><span class=""p"">,</span> <span class=""mi"">6</span><span class=""p"">],</span> <span class=""p"">[</span><span class=""mi"">7</span><span class=""p"">,</span> <span class=""mi"">8</span><span class=""p"">,</span> <span class=""mi"">9</span><span class=""p"">]],</span> <span class=""mi"">7</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">append</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">,</span> <span class=""n"">b</span><span class=""p"">)</span>
<span class=""go"">masked_array(data=[1, --, 3, 4, 5, 6, --, 8, 9],</span>
<span class=""go"">             mask=[False,  True, False, False, False, False,  True, False,</span>
<span class=""go"">                   False],</span>
<span class=""go"">       fill_value=999999)</span>
</pre>"
numpy.ma.make_mask,Create a boolean mask from an array.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""kn"">import</span> <span class=""nn"">numpy.ma</span> <span class=""k"">as</span> <span class=""nn"">ma</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">m</span> <span class=""o"">=</span> <span class=""p"">[</span><span class=""kc"">True</span><span class=""p"">,</span> <span class=""kc"">False</span><span class=""p"">,</span> <span class=""kc"">True</span><span class=""p"">,</span> <span class=""kc"">True</span><span class=""p"">]</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">make_mask</span><span class=""p"">(</span><span class=""n"">m</span><span class=""p"">)</span>
<span class=""go"">array([ True, False,  True,  True])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">m</span> <span class=""o"">=</span> <span class=""p"">[</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">0</span><span class=""p"">,</span> <span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">1</span><span class=""p"">]</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">make_mask</span><span class=""p"">(</span><span class=""n"">m</span><span class=""p"">)</span>
<span class=""go"">array([ True, False,  True,  True])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">m</span> <span class=""o"">=</span> <span class=""p"">[</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">0</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">,</span> <span class=""o"">-</span><span class=""mi"">3</span><span class=""p"">]</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">make_mask</span><span class=""p"">(</span><span class=""n"">m</span><span class=""p"">)</span>
<span class=""go"">array([ True, False,  True,  True])</span>
</pre>"
numpy.ma.make_mask_none,"Return a boolean mask of the given shape, filled with False.","<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""kn"">import</span> <span class=""nn"">numpy.ma</span> <span class=""k"">as</span> <span class=""nn"">ma</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">make_mask_none</span><span class=""p"">((</span><span class=""mi"">3</span><span class=""p"">,))</span>
<span class=""go"">array([False, False, False])</span>
</pre>"
numpy.ma.mask_or,Combine two masks with the logical_or operator.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">m1</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">make_mask</span><span class=""p"">([</span><span class=""mi"">0</span><span class=""p"">,</span> <span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">0</span><span class=""p"">])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">m2</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">make_mask</span><span class=""p"">([</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">0</span><span class=""p"">,</span> <span class=""mi"">0</span><span class=""p"">,</span> <span class=""mi"">0</span><span class=""p"">])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">mask_or</span><span class=""p"">(</span><span class=""n"">m1</span><span class=""p"">,</span> <span class=""n"">m2</span><span class=""p"">)</span>
<span class=""go"">array([ True,  True,  True, False])</span>
</pre>"
numpy.ma.make_mask_descr,Construct a dtype description list from a given dtype.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""kn"">import</span> <span class=""nn"">numpy.ma</span> <span class=""k"">as</span> <span class=""nn"">ma</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">dtype</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">dtype</span><span class=""p"">({</span><span class=""s1"">'names'</span><span class=""p"">:[</span><span class=""s1"">'foo'</span><span class=""p"">,</span> <span class=""s1"">'bar'</span><span class=""p"">],</span>
<span class=""gp"">... </span>                  <span class=""s1"">'formats'</span><span class=""p"">:[</span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">float32</span><span class=""p"">,</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">int64</span><span class=""p"">]})</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">dtype</span>
<span class=""go"">dtype([('foo', '&lt;f4'), ('bar', '&lt;i8')])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">make_mask_descr</span><span class=""p"">(</span><span class=""n"">dtype</span><span class=""p"">)</span>
<span class=""go"">dtype([('foo', '|b1'), ('bar', '|b1')])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">make_mask_descr</span><span class=""p"">(</span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">float32</span><span class=""p"">)</span>
<span class=""go"">dtype('bool')</span>
</pre>"
numpy.ma.getmask,"Return the mask of a masked array, or nomask.","<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""kn"">import</span> <span class=""nn"">numpy.ma</span> <span class=""k"">as</span> <span class=""nn"">ma</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">masked_equal</span><span class=""p"">([[</span><span class=""mi"">1</span><span class=""p"">,</span><span class=""mi"">2</span><span class=""p"">],[</span><span class=""mi"">3</span><span class=""p"">,</span><span class=""mi"">4</span><span class=""p"">]],</span> <span class=""mi"">2</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span>
<span class=""go"">masked_array(</span>
<span class=""go"">  data=[[1, --],</span>
<span class=""go"">        [3, 4]],</span>
<span class=""go"">  mask=[[False,  True],</span>
<span class=""go"">        [False, False]],</span>
<span class=""go"">  fill_value=2)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">getmask</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">)</span>
<span class=""go"">array([[False,  True],</span>
<span class=""go"">       [False, False]])</span>
</pre>"
numpy.ma.getmaskarray,"Return the mask of a masked array, or full boolean array of False.","<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""kn"">import</span> <span class=""nn"">numpy.ma</span> <span class=""k"">as</span> <span class=""nn"">ma</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">masked_equal</span><span class=""p"">([[</span><span class=""mi"">1</span><span class=""p"">,</span><span class=""mi"">2</span><span class=""p"">],[</span><span class=""mi"">3</span><span class=""p"">,</span><span class=""mi"">4</span><span class=""p"">]],</span> <span class=""mi"">2</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span>
<span class=""go"">masked_array(</span>
<span class=""go"">  data=[[1, --],</span>
<span class=""go"">        [3, 4]],</span>
<span class=""go"">  mask=[[False,  True],</span>
<span class=""go"">        [False, False]],</span>
<span class=""go"">  fill_value=2)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">getmaskarray</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">)</span>
<span class=""go"">array([[False,  True],</span>
<span class=""go"">       [False, False]])</span>
</pre>"
numpy.ma.masked_array.mask,Current mask.,
numpy.ma.ndenumerate,Multidimensional index iterator.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">arange</span><span class=""p"">(</span><span class=""mi"">9</span><span class=""p"">)</span><span class=""o"">.</span><span class=""n"">reshape</span><span class=""p"">((</span><span class=""mi"">3</span><span class=""p"">,</span> <span class=""mi"">3</span><span class=""p"">))</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span><span class=""p"">[</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">0</span><span class=""p"">]</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">masked</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span><span class=""p"">[</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">]</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">masked</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span><span class=""p"">[</span><span class=""mi"">2</span><span class=""p"">,</span> <span class=""mi"">1</span><span class=""p"">]</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">masked</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span>
<span class=""go"">masked_array(</span>
<span class=""go"">  data=[[0, 1, 2],</span>
<span class=""go"">        [--, 4, --],</span>
<span class=""go"">        [6, --, 8]],</span>
<span class=""go"">  mask=[[False, False, False],</span>
<span class=""go"">        [ True, False,  True],</span>
<span class=""go"">        [False,  True, False]],</span>
<span class=""go"">  fill_value=999999)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""k"">for</span> <span class=""n"">index</span><span class=""p"">,</span> <span class=""n"">x</span> <span class=""ow"">in</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">ndenumerate</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">):</span>
<span class=""gp"">... </span>    <span class=""nb"">print</span><span class=""p"">(</span><span class=""n"">index</span><span class=""p"">,</span> <span class=""n"">x</span><span class=""p"">)</span>
<span class=""go"">(0, 0) 0</span>
<span class=""go"">(0, 1) 1</span>
<span class=""go"">(0, 2) 2</span>
<span class=""go"">(1, 1) 4</span>
<span class=""go"">(2, 0) 6</span>
<span class=""go"">(2, 2) 8</span>
</pre>"
numpy.ma.flatnotmasked_contiguous,Find contiguous unmasked data in a masked array.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">arange</span><span class=""p"">(</span><span class=""mi"">10</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">flatnotmasked_contiguous</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">)</span>
<span class=""go"">[slice(0, 10, None)]</span>
</pre>"
numpy.ma.flatnotmasked_edges,Find the indices of the first and last unmasked values.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">arange</span><span class=""p"">(</span><span class=""mi"">10</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">flatnotmasked_edges</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">)</span>
<span class=""go"">array([0, 9])</span>
</pre>"
numpy.ma.notmasked_contiguous,Find contiguous unmasked data in a masked array along the given axis.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">arange</span><span class=""p"">(</span><span class=""mi"">12</span><span class=""p"">)</span><span class=""o"">.</span><span class=""n"">reshape</span><span class=""p"">((</span><span class=""mi"">3</span><span class=""p"">,</span> <span class=""mi"">4</span><span class=""p"">))</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">mask</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">zeros_like</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">mask</span><span class=""p"">[</span><span class=""mi"">1</span><span class=""p"">:,</span> <span class=""p"">:</span><span class=""o"">-</span><span class=""mi"">1</span><span class=""p"">]</span> <span class=""o"">=</span> <span class=""mi"">1</span><span class=""p"">;</span> <span class=""n"">mask</span><span class=""p"">[</span><span class=""mi"">0</span><span class=""p"">,</span> <span class=""mi"">1</span><span class=""p"">]</span> <span class=""o"">=</span> <span class=""mi"">1</span><span class=""p"">;</span> <span class=""n"">mask</span><span class=""p"">[</span><span class=""o"">-</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">0</span><span class=""p"">]</span> <span class=""o"">=</span> <span class=""mi"">0</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">ma</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">,</span> <span class=""n"">mask</span><span class=""o"">=</span><span class=""n"">mask</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">ma</span>
<span class=""go"">masked_array(</span>
<span class=""go"">  data=[[0, --, 2, 3],</span>
<span class=""go"">        [--, --, --, 7],</span>
<span class=""go"">        [8, --, --, 11]],</span>
<span class=""go"">  mask=[[False,  True, False, False],</span>
<span class=""go"">        [ True,  True,  True, False],</span>
<span class=""go"">        [False,  True,  True, False]],</span>
<span class=""go"">  fill_value=999999)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">(</span><span class=""n"">ma</span><span class=""p"">[</span><span class=""o"">~</span><span class=""n"">ma</span><span class=""o"">.</span><span class=""n"">mask</span><span class=""p"">])</span>
<span class=""go"">array([ 0,  2,  3,  7, 8, 11])</span>
</pre>"
numpy.ma.notmasked_edges,Find the indices of the first and last unmasked values along an axis.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">arange</span><span class=""p"">(</span><span class=""mi"">9</span><span class=""p"">)</span><span class=""o"">.</span><span class=""n"">reshape</span><span class=""p"">((</span><span class=""mi"">3</span><span class=""p"">,</span> <span class=""mi"">3</span><span class=""p"">))</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">m</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">zeros_like</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">m</span><span class=""p"">[</span><span class=""mi"">1</span><span class=""p"">:,</span> <span class=""mi"">1</span><span class=""p"">:]</span> <span class=""o"">=</span> <span class=""mi"">1</span>
</pre>"
